split,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc
val,0.5,0.8906856403622251,0.9031802120141342,0.8640973630831643,0.8832066344160332,0.958353925404097,0.9608363933690682
test,0.5,0.8971871968962173,0.9132290184921764,0.8675675675675676,0.8898128898128899,0.9601881251989745,0.9628295162368985
