split,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc
val,0.5,0.9560155239327296,0.9738884968242767,0.9330628803245437,0.9530386740331491,0.9856769310541841,0.9875365505518569
test,0.5,0.9508567733591982,0.9722617354196301,0.9236486486486486,0.9473319473319474,0.9841088453611702,0.9865907395324405
