model,accuracy,f1,precision,recall,roc_auc,fn,fp
ModernBERT zero-shot — test_v2 (direct),0.9511800840607824,0.9476965708347765,0.9722814498933902,0.9243243243243243,0.9854088822238234,112,39
ModernBERT zero-shot — BIPIA (indirect),0.5609,0.4691,0.5931,0.388,0.6131,3060,1331
ModernBERT fine-tuned — test_v2 (direct),0.938894277400582,0.9368526561977949,0.9266358228684732,0.9472972972972973,0.9849129119820379,78,111
ModernBERT fine-tuned — BIPIA (indirect),0.9991,0.9991008092716556,0.9982032341784788,1.0,0.99999576,0,9
ModernBERT fine-tuned — combined,0.984877415412816,0.9847715736040609,0.9816007359705612,0.9879629629629629,0.9977500126014417,78,120
