model,accuracy,f1,precision,recall
LogisticRegression,0.9127061105722599,0.9074074074074074,0.9213091922005571,0.893918918918919
LinearSVC,0.9149692854833495,0.9098388755570792,0.9234516353514266,0.8966216216216216
BiLSTM (GloVe 100d/512),0.9013902360168121,0.8954405210833047,0.9088378566457899,0.8824324324324324
BiLSTM (GloVe 100d/1024),0.8971871968962173,0.8898128898128899,0.9132290184921764,0.8675675675675676
BiLSTM (GloVe 300d/1024),0.9078564500484966,0.9020281883808869,0.9181245626312107,0.8864864864864865
BERT-base,0.9333979954736502,0.9278206026629292,0.9636098981077147,0.8945945945945946
DistilBERT,0.9288716456514711,0.9241902136457616,0.9430379746835443,0.9060810810810811
ModernBERT,0.9511800840607824,0.9476965708347765,0.9722814498933902,0.9243243243243243
