split,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc
val,0.5,0.9508408796895214,0.9623693379790941,0.933739012846518,0.9478380233356212,0.9860543999543935,0.9865649298888117
test,0.5,0.9511800840607824,0.9722814498933902,0.9243243243243243,0.9476965708347765,0.9854088822238234,0.9871976910751952
