split,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc
val,0.5,0.9440491591203105,0.9664285714285714,0.9148073022312373,0.9399096908648836,0.9820982073056685,0.9842042782515494
test,0.5,0.9333979954736502,0.9636098981077147,0.8945945945945946,0.9278206026629292,0.975544143027094,0.9786746444191212
