epoch,train_loss,val_loss,val_f1,val_recall,val_precision,seconds
1,0.7016018799414356,0.6370438857470009,0.6704225352112676,0.6230366492146597,0.725609756097561,528.9631929397583
2,0.6437313609172429,0.6834849952957903,0.6836158192090396,0.8446771378708552,0.5741399762752076,594.6559388637543
3,0.6088360869177044,0.587943214713641,0.7105901374292644,0.7670157068062827,0.6618975903614458,544.658154964447
4,0.5814994447953268,0.5638190821131045,0.7176684881602914,0.68760907504363,0.7504761904761905,541.9636209011078
5,0.5504385694911973,0.56068556710991,0.7114219114219115,0.6657940663176265,0.7637637637637638,544.7453458309174
6,0.5215255607570376,0.5317778886713054,0.728494623655914,0.7094240837696335,0.7486187845303868,534.4400417804718
7,0.49897254956089704,0.5251961943790384,0.7281468531468531,0.7268760907504364,0.7294220665499125,524.7015571594238
8,0.4752464147681766,0.546775085392812,0.7313505607020966,0.6544502617801047,0.8287292817679558,515.4673731327057
9,0.4494162592628014,0.5171575327418894,0.751937984496124,0.7617801047120419,0.7423469387755102,500.0945909023285
10,0.42930000567649196,0.5127841647239986,0.7459312839059674,0.7198952879581152,0.773921200750469,501.4897301197052
11,0.40523603028574523,0.5437915594869069,0.742653606411398,0.7277486910994765,0.7581818181818182,514.3389019966125
12,0.38054626188270935,0.5172220376821665,0.7602825093477358,0.7984293193717278,0.725614591593973,521.3150210380554
13,0.3658044487268886,0.5425902612762599,0.757454383622608,0.7425828970331588,0.7729336966394187,589.2858197689056
14,0.350817720527324,0.5373246946408815,0.7531562908141054,0.7547993019197208,0.7515204170286707,608.6384410858154
15,0.3362901008910861,0.5388582221291954,0.7588477366255144,0.8045375218150087,0.7180685358255452,731.4128520488739
