epoch,train_loss,val_loss,val_f1,val_recall,val_precision,seconds
1,0.4960012347821808,0.380105875519238,0.8260420254908715,0.810682893847194,0.8419943820224719,30.182976484298706
2,0.35726744647052167,0.3474578343495669,0.8455611390284757,0.8532792427315754,0.8379814077025233,30.160398483276367
3,0.3018140236384507,0.30158409757725174,0.8657243816254417,0.828262339418526,0.9067357512953368,30.022429704666138
4,0.26419305296338386,0.3105866315293898,0.8746048472075869,0.8417849898580122,0.9100877192982456,30.099594116210938
5,0.24176183376084065,0.2915762868380948,0.868559411146162,0.8377281947261663,0.9017467248908297,30.238431930541992
6,0.21716306851442907,0.2812811178655242,0.8774055595153243,0.8323191345503719,0.9276563677467973,30.068127393722534
7,0.19181171596624458,0.2906495352380489,0.8820168067226891,0.8870858688302907,0.8770053475935828,29.845799922943115
8,0.1736322035980089,0.2867657777408733,0.8787984631505414,0.8505747126436781,0.9089595375722543,29.902538537979126
9,0.15613535840844767,0.31551142536190474,0.8728425501937301,0.8377281947261663,0.9110294117647059,29.952078580856323
10,0.12650141012605406,0.3190511956637458,0.8913630229419703,0.8931710615280595,0.8895622895622896,29.93998384475708
11,0.12325219332477855,0.3142439178630883,0.8918277382163445,0.8891142663962136,0.8945578231292517,29.76951003074646
12,0.11009727106643603,0.32873821470592496,0.8888114325548971,0.8620689655172413,0.9172661870503597,29.623520374298096
13,0.10734499313163942,0.3255711301178087,0.8942143101677508,0.8830290736984449,0.9056865464632455,29.768603801727295
14,0.09857335152301101,0.33950676264923263,0.8893428668709568,0.8830290736984449,0.8957475994513031,29.97763752937317
15,0.09201313777895725,0.3489699460479297,0.8907273354015857,0.8735632183908046,0.9085794655414908,29.671141862869263
16,0.08146532299652179,0.35226514588506536,0.8937779305603301,0.8789722785665991,0.9090909090909091,30.029335975646973
