split,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc
val,0.5,0.9000646830530401,0.9056865464632455,0.8830290736984449,0.8942143101677508,0.9605546047223644,0.9640764103112417
test,0.5,0.9078564500484966,0.9181245626312107,0.8864864864864865,0.9020281883808869,0.966332249794742,0.9694492951548617
