epoch,train_loss,val_loss,val_f1,val_recall,val_precision,seconds
1,0.723510600058427,0.6618849104192076,0.6478359908883827,0.6204188481675392,0.6777883698760725,28.5503511428833
2,0.6293757338288104,0.5981943987998641,0.6961972419557041,0.7268760907504364,0.6680032076984763,28.393972873687744
3,0.5723813117751536,0.5689552593940138,0.7199289835774523,0.7076788830715532,0.7326106594399278,28.36627173423767
4,0.5345584468476355,0.5413590356389707,0.730820399113082,0.7190226876090751,0.7430117222723174,28.495781183242798
5,0.49177097480933213,0.5321371342647284,0.7422003284072249,0.7888307155322862,0.7007751937984497,28.471283197402954
6,0.4606533805160557,0.5338467368404558,0.7406417112299465,0.725130890052356,0.7568306010928961,28.295572996139526
7,0.42569076065607375,0.5396833833988512,0.7546848381601363,0.7731239092495636,0.7371048252911814,28.235182762145996
8,0.3960698037384108,0.5568577483460143,0.7529007305543618,0.7643979057591623,0.7417442845046571,28.42808246612549
9,0.3675708274610666,0.56996160826532,0.754356846473029,0.7931937172774869,0.7191455696202531,28.400053024291992
10,0.3333209045424817,0.5631383419345098,0.7608510638297873,0.7801047120418848,0.7425249169435216,28.46627926826477
11,0.3155637060549193,0.6156784134983785,0.7475728155339806,0.7390924956369983,0.75625,28.545531511306763
12,0.306954122039141,0.6234888968039268,0.7479248580166011,0.7469458987783595,0.7489063867016623,28.480247497558594
13,0.2822500657369932,0.6258885904366382,0.7608415629025332,0.7731239092495636,0.7489433643279797,28.514485597610474
