epoch,train_loss,val_loss,val_f1,val_recall,val_precision,seconds
1,0.7323356120137823,0.6563582288194026,0.6707645024971187,0.7617801047120419,0.5991763898421414,28.45840358734131
2,0.6519322585889519,0.6186379124521824,0.6663356504468719,0.5855148342059336,0.7730414746543779,28.264796018600464
3,0.6151427903562344,0.5868314727322086,0.7121273989383422,0.7609075043630017,0.6692248656945511,28.19636368751526
4,0.5785112879578571,0.5614998893500454,0.7150928167877321,0.7731239092495636,0.6651651651651652,28.386402130126953
5,0.5533203367801941,0.5489323887427391,0.7173322993408298,0.8071553228621291,0.6454989532449407,28.285471200942993
6,0.5248268353716999,0.5868039334983924,0.7252306458082631,0.7888307155322862,0.6711210096510765,28.285815954208374
7,0.5033787477421765,0.5251504249856329,0.7434977578475336,0.7233856893542757,0.764760147601476,28.07429552078247
8,0.47275515854437095,0.5204926950359776,0.7463636363636363,0.7164048865619547,0.7789373814041746,27.967514276504517
9,0.44622858508943597,0.5374370626888509,0.754233409610984,0.7190226876090751,0.793070259865255,27.92820930480957
10,0.42676514792653647,0.5237819337043441,0.75177304964539,0.7399650959860384,0.7639639639639639,27.880560159683228
11,0.4098876171635918,0.5356496013050782,0.7525912573231185,0.7286212914485166,0.7781919850885368,27.744585037231445
12,0.3762167342619572,0.5364276345653077,0.7577897798088907,0.7958115183246073,0.7232355273592387,27.92592978477478
13,0.3626149187197143,0.5429346094458197,0.7651130595293032,0.7233856893542757,0.811949069539667,28.065436601638794
14,0.35624664340659146,0.5222732106099687,0.7689795918367347,0.8219895287958116,0.7223926380368099,27.971850872039795
15,0.3416237497214556,0.557402502126515,0.7620735489587949,0.7504363001745201,0.774077407740774,27.912761449813843
16,0.3340003548934101,0.5474766710148216,0.7668609492089925,0.8036649214659686,0.73328025477707,27.824901819229126
17,0.3209577428672165,0.543710461337873,0.7659392383397519,0.7809773123909249,0.7514693534844669,28.014522075653076
