split,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc
val,0.5,0.8170652876535229,0.7223926380368099,0.8219895287958116,0.7689795918367347,0.9025670934703691,0.8690833879991156
test,0.5,0.8077544426494345,0.7129629629629629,0.8055797733217088,0.7564469914040115,0.8940421759110903,0.8684716433726439
